Team,Age,G,MP,WEIGHT,YEAR
Boston Celtics,26,43,32.6,1401.8,2019
Boston Celtics,20,50,31.1,1555,2019
Boston Celtics,32,40,28.4,1136,2019
Boston Celtics,29,46,27.4,1260.4,2019
Boston Celtics,24,49,26.7,1308.3,2019
Boston Celtics,22,45,26,1170,2019
Boston Celtics,28,45,25.9,1165.5,2019
Boston Celtics,24,50,22.9,1145,2019
Boston Celtics,26,37,14.9,551.3,2019
Boston Celtics,32,32,14.9,476.8,2019
Boston Celtics,24,36,10.6,381.6,2019
Boston Celtics,21,22,9,198,2019
Boston Celtics,29,22,8.7,191.4,2019
Boston Celtics,23,27,5.8,156.6,2019
Boston Celtics,22,4,2.5,10,2019
Brooklyn Nets,24,14,29.7,415.8,2019
Brooklyn Nets,27,48,29.6,1420.8,2019
Brooklyn Nets,22,51,29.6,1509.6,2019
Brooklyn Nets,25,49,28.6,1401.4,2019
Brooklyn Nets,20,50,26.7,1335,2019
Brooklyn Nets,26,28,26.1,730.8,2019
Brooklyn Nets,32,40,25,1000,2019
Brooklyn Nets,25,14,22.7,317.8,2019
Brooklyn Nets,24,41,22.6,926.6,2019
Brooklyn Nets,33,43,22,946,2019
Brooklyn Nets,20,35,20.9,731.5,2019
Brooklyn Nets,29,51,18.4,938.4,2019
Brooklyn Nets,27,40,17.2,688,2019
Brooklyn Nets,23,9,13.8,124.2,2019
Brooklyn Nets,29,12,9.8,117.6,2019
Brooklyn Nets,26,2,9.5,19,2019
Brooklyn Nets,26,1,9,9,2019
Brooklyn Nets,19,7,3.7,25.9,2019
Miami Heat,25,46,34.5,1587,2019
Miami Heat,22,43,29.2,1255.6,2019
Miami Heat,32,14,29.1,407.4,2019
Miami Heat,27,46,26.2,1205.2,2019
Miami Heat,29,42,25.7,1079.4,2019
Miami Heat,26,40,25.6,1024,2019
Miami Heat,37,39,25.4,990.6,2019
Miami Heat,21,48,22,1056,2019
Miami Heat,31,23,21.6,496.8,2019
Miami Heat,31,32,21.2,678.4,2019
Miami Heat,27,45,19.6,882,2019
Miami Heat,21,37,18.1,669.7,2019
Miami Heat,27,10,18,180,2019
Miami Heat,24,4,7.3,29.2,2019
Miami Heat,38,3,4.7,14.1,2019
Charlotte Hornets,28,49,34.3,1680.7,2019
Charlotte Hornets,30,49,30.9,1514.1,2019
Charlotte Hornets,26,46,29,1334,2019
Charlotte Hornets,32,48,27.9,1339.2,2019
Charlotte Hornets,26,35,24.5,857.5,2019
Charlotte Hornets,25,42,19.7,827.4,2019
Charlotte Hornets,20,47,19,893,2019
Charlotte Hornets,36,43,18.5,795.5,2019
Charlotte Hornets,20,46,18.4,846.4,2019
Charlotte Hornets,26,24,14.7,352.8,2019
Charlotte Hornets,24,41,14.2,582.2,2019
Charlotte Hornets,23,1,14,14,2019
Charlotte Hornets,23,27,12.6,340.2,2019
Charlotte Hornets,25,23,11.4,262.2,2019
Charlotte Hornets,23,23,10.6,243.8,2019
Detroit Pistons,29,47,36.4,1710.8,2019
Detroit Pistons,25,46,33.1,1522.6,2019
Detroit Pistons,27,40,30.8,1232,2019
Detroit Pistons,28,49,28.9,1416.1,2019
Detroit Pistons,30,25,23.2,580,2019
Detroit Pistons,27,47,21.8,1024.6,2019
Detroit Pistons,22,31,20.3,629.3,2019
Detroit Pistons,22,42,20,840,2019
Detroit Pistons,22,44,20,880,2019
Detroit Pistons,34,39,14.7,573.3,2019
Detroit Pistons,37,41,14.3,586.3,2019
Detroit Pistons,25,30,14.1,423,2019
Detroit Pistons,22,2,12.5,25,2019
Detroit Pistons,29,31,11.1,344.1,2019
Detroit Pistons,22,14,8.6,120.4,2019
Detroit Pistons,29,1,6,6,2019
Detroit Pistons,26,1,4,4,2019
Washington Wizards,33,20,37.6,752,2019
Washington Wizards,25,50,37.2,1860,2019
Washington Wizards,28,32,34.5,1104,2019
Washington Wizards,25,38,29,1102,2019
Washington Wizards,32,48,27.5,1320,2019
Washington Wizards,23,29,26,754,2019
Washington Wizards,29,34,26,884,2019
Washington Wizards,33,9,25.6,230.4,2019
Washington Wizards,27,50,23.9,1195,2019
Washington Wizards,26,29,23.6,684.4,2019
Washington Wizards,21,40,19.1,764,2019
Washington Wizards,24,22,16.4,360.8,2019
Washington Wizards,25,20,15,300,2019
Washington Wizards,32,29,14.4,417.6,2019
Washington Wizards,25,4,11.3,45.2,2019
Washington Wizards,32,12,10.8,129.6,2019
Washington Wizards,23,4,8,32,2019
Washington Wizards,19,27,7.4,199.8,2019
Washington Wizards,26,2,6.5,13,2019
Washington Wizards,27,11,4.5,49.5,2019
Washington Wizards,26,3,2,6,2019
Orlando Magic,23,47,33.7,1583.9,2019
Orlando Magic,28,50,31.3,1565,2019
